电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,评分,评分人数,domestic_boxoffice,international_boxoffice,worldwide_boxoffice
无人知晓 誰も知らない,是枝裕和,是枝裕和,柳乐优弥/北浦爱/木村飞影/清水萌萌子/韩英惠/江原由希子/串田和美/冈元夕纪子/楯隆子/加濑亮/村野友希/田中庆太/木村佑一/远藤宪一/寺岛进/平泉成,剧情,日本,日语,2004-05-13(戛纳电影节)/2004-08-07(日本),141分钟,谁知赤子心(港)/无人知晓的夏日清晨(台)/NobodyKnows/Daremoshiranai,tt0408664,9.1,261668,"$684,118","$1,603,975","$2,288,093"
完美的世界 A Perfect World,克林特·伊斯特伍德,约翰·李·汉考克,凯文·科斯特纳/劳拉·邓恩/克林特·伊斯特伍德/T·J·劳瑟/基斯·斯扎拉巴基克,剧情/犯罪,美国,英语,1993-11-24(美国),138分钟/125分钟(德国电视版),强盗保镳,tt0107808,9.1,254101,"$31,130,999","$104,000,000","$135,130,999"
侧耳倾听 耳をすませば,近藤喜文,宫崎骏/柊葵,本名阳子/小林桂树/高山南/高桥一生/山下容莉枝/室井滋/露口茂/饭冢雅弓,剧情/爱情/动画,日本,日语/英语,1995-07-15(日本),111分钟,心之谷(台)/梦幻街少女(港)/WhisperoftheHeart/Mimiwosumaseba,tt0113824,8.9,397734,"$498,156","$86,857","$585,013"
驯龙高手 How to Train Your Dragon,迪恩·德布洛斯/克里斯·桑德斯,威廉姆·戴维斯/迪恩·德布洛斯/克里斯·桑德斯/葛蕾熙达·柯维尔,杰伊·巴鲁切尔/杰拉德·巴特勒/克雷格·费格森/亚美莉卡·费雷拉/乔纳·希尔/克里斯托夫·梅兹-普莱瑟/T·J·米勒/克里斯汀·韦格/罗宾·阿特金·唐斯/菲利普·麦格雷德/基隆·埃利奥特/阿什利·詹森/大卫·田纳特,动画/奇幻/冒险,美国,英语,2010-05-14(中国大陆)/2010-03-18(俄罗斯)/2010-03-26(美国),98分钟,驯龙记(港),tt0892769,8.7,656718,"$217,581,231","$277,298,240","$494,879,471"
幸福终点站 The Terminal,史蒂文·斯皮尔伯格,安德鲁·尼科尔/萨沙·杰瓦西/杰夫·内桑森,汤姆·汉克斯/凯瑟琳·泽塔-琼斯/斯坦利·图齐/齐·麦克布赖德/迭戈·卢纳/巴里·沙巴卡·亨利/库玛·帕拉纳/佐伊·索尔达娜/埃迪·琼斯/祖德·塞克利拉/科瑞·雷诺兹/古列雷莫·迪亚兹/里尼·贝尔/瓦列里·尼古拉耶夫/迈克尔·诺里/鲍勃·莫里西/萨沙·斯皮尔伯格/苏珊·索洛米/卡尔利斯·布克/斯蒂芬·富勒/丹·芬纳蒂/LydiaBlanco/肯尼斯·崔/卡斯·安瓦尔/康拉德·皮拉/杜桑恩·杜基齐/马克·伊瓦涅/BennyGolson/斯科特·安第斯/罗伯特·科瓦吕比亚/DilvaHenry/卡尔艾拉切/哈亚提·阿克巴斯/艾力克斯·伯恩斯/埃莱娜·卡多纳/DanChase/查得·R·戴维斯/AntonellaElia/MichaelEliopoulos/MarstonFobbs/RiadGalayini/杰拉德·加纳/贾斯汀·罗杰斯豪尔/MohammedHassan/AmberHavens/KseniaJarova/巴里·朱利安/SvilenaKidess/ZuzanaMonroe/艾丽西亚·奥奇瑟/本杰明·奥切恩格,剧情/喜剧/爱情,美国,英语/保加利亚语/西班牙语/俄语/汉语普通话/德语/法语,2005-01-14(中国大陆)/2004-06-18(美国),128分钟,机场客运站(港)/航站情缘(台)/航站奇缘/单程机票航站奇缘/候机楼/单程机票/爱你无国界,tt0362227,8.8,475042,"$77,872,883","$141,227,201","$219,100,084"
大鱼 Big Fish,蒂姆·波顿,DanielWallace/约翰·奥古斯特,伊万·麦克格雷格/阿尔伯特·芬尼/比利·克鲁德普/杰西卡·兰格/海伦娜·伯翰·卡特/艾莉森·洛曼/罗伯特·吉尔劳姆/玛丽昂·歌迪亚/马修·麦克格罗里/大卫·丹曼/米西·派勒/卢顿·万恩怀特三世/艾达·泰/艾伦妮·泰/史蒂夫·布西密/丹尼·德维托/迪普·罗伊/海利·安妮·内尔森,剧情/家庭/奇幻/冒险,美国,英语/法语/俄语/粤语/汉语普通话,2003-12-04(纽约首映)/2004-01-09(美国),125分钟,大鱼奇缘(港)/大智若鱼(台)/大鱼老爸,tt0319061,8.8,496030,"$66,809,693","$56,408,731","$123,218,424"
告白,中岛哲也,中岛哲也/凑佳苗,松隆子/冈田将生/木村佳乃/西井幸人/桥本爱/芦田爱菜/三吉彩花/藤原薰/井之胁海/清水尚弥/高桥努/一井直树/能年玲奈/新井浩文/野本萤,剧情/悬疑,日本,日语,2010-06-05(日本),106分钟,自白/母亲/Kokuhaku/Confessions,tt1590089,8.8,602021,None,"$45,203,103","$45,203,103"
阳光姐妹淘 써니,姜炯哲,姜炯哲/李炳宪,沈恩京/闵孝琳/姜素拉/南宝拉/陈熙琼/金时厚/柳好贞/朴真珠/李妍京/金甫美/千禹熙/李璟荣,剧情/喜剧,韩国,韩语,2011-05-04(韩国),124分钟/135分钟(导演剪辑版),阳光姊妹淘(港)/桑尼/阳光/永远的七公主/Sunny,tt1937339,8.8,533302,None,"$51,116,421","$51,116,421"
玩具总动员3 Toy Story 3,李·昂克里奇,迈克尔·阿恩特/约翰·拉塞特/安德鲁·斯坦顿/李·昂克里奇,汤姆·汉克斯/蒂姆·艾伦/琼·库萨克/尼德·巴蒂/唐·里克斯/迈克尔·基顿,喜剧/动画/奇幻/冒险,美国,英语/西班牙语,2010-06-16(中国大陆)/2010-06-18(美国),103分钟,反斗奇兵3(港)/玩具的故事3,tt0435761,8.9,436972,"$415,004,880","$651,965,931","$1,066,970,811"
哪吒闹海,王树忱/严定宪/徐景达,王树忱,梁正晖/邱岳峰/毕克/富润生/尚华/于鼎,动画/奇幻/冒险,中国大陆,汉语普通话,1979-05-19(中国大陆),65分钟,PrinceNezha'sTriumphAgainstDragonKing/NezhaConquerstheDragonKing,tt0354770,9.1,218949,None,None,None
被解救的姜戈 Django Unchained,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,杰米·福克斯/莱昂纳多·迪卡普里奥/克里斯托弗·瓦尔兹/塞缪尔·杰克逊/凯丽·华盛顿/沃尔顿·戈金斯/丹尼斯·克里斯托弗/乔纳·希尔/詹姆斯·瑞马尔/爱波·塔布琳/弗兰科·内罗/罗伯特·卡拉丁/佐伊·贝尔,剧情/动作/西部/冒险,美国,英语/法语/德语,2013-05-12(中国大陆)/2012-12-25(美国),163分钟(中国大陆)/165分钟(美国),被解放的姜戈/决杀令(台)/黑杀令(港)/被解放的迪亚戈/铁血枷锁/解放的詹哥/奔放的强哥/强哥好强,tt1853728,8.8,520022,"$162,805,434","$263,268,939","$426,074,373"
头号玩家 Ready Player One,史蒂文·斯皮尔伯格,扎克·佩恩/恩斯特·克莱恩,泰伊·谢里丹/奥利维亚·库克/本·门德尔森/马克·里朗斯/丽娜·维特/森崎温/赵家正/西蒙·佩吉/T·J·米勒/汉娜·乔恩-卡门/拉尔夫·伊内森/苏珊·林奇/克莱尔·希金斯/劳伦斯·斯佩尔曼/佩蒂塔·维克斯/艾萨克·安德鲁斯,动作/科幻/冒险,美国,英语/日语/汉语普通话,2018-03-30(中国大陆)/2018-03-11(西南偏南电影节)/2018-03-29(美国),140分钟,玩家一号/挑战者1号(港)/一级玩家(台)/一号玩家,tt1677720,8.7,1187956,"$137,690,172","$445,203,499","$582,893,671"
七武士 七人の侍,黑泽明,黑泽明/桥本忍/小国英雄,三船敏郎/志村乔/津岛惠子/岛崎雪子/藤原釜足/加东大介/木村功/千秋实/宫口精二/小杉义男/左卜全/稻叶义男/土屋嘉男/高堂国典/东野英治郎/上田吉二郎/多多良纯/渡边笃/小川虎之助/山形勋/上山草人/清水元/高木新平/大友伸/高原骏雄/稻垣三郎/堺左千夫/千石规子/本间文子/大久保正信/伊藤实/大村千吉/广濑正一/宇野晃司/谷晃/中岛春雄/清水美恵/熊谷卓三/夏木顺平/岩本弘司/堤康久/马野都留子/森今日子/加藤武/仲代达矢/宇津井健/山本廉,剧情/动作/冒险,日本,日语,1954-04-26(日本),207分钟/160分钟(国际版)/150分钟(英国初版)/190分钟(英国1991重映版)/141分钟(美国初版)/203分钟(美国重映版),七侠四义(港)/七剑客(港)/TheSevenSamurai/Shichininnosamurai,tt0047478,9.3,166040,"$318,649","$27,609","$346,258"
我是山姆 I Am Sam,杰茜·尼尔森,杰茜·尼尔森/克里斯汀·约翰逊,西恩·潘/达科塔·范宁/米歇尔·菲佛/黛安·韦斯特/洛雷塔·迪瓦恩/理查德·希夫/劳拉·邓恩,剧情/家庭,美国,英语,2001-12-03(美国),132分钟,不一样的爸爸(港)/他不笨，他是我爸爸(台),tt0277027,9.0,277758,"$40,311,852","$57,506,287","$97,818,139"
喜宴 囍宴,李安,李安/冯光远/詹姆斯·夏慕斯,赵文瑄/郎雄/归亚蕾/金素梅/米切尔·利希藤斯坦,剧情/喜剧/爱情/同性/家庭,中国台湾/美国,汉语普通话/英语,1993-02(柏林电影节)/1993-08-04(美国),108分钟,TheWeddingBanquet,tt0107156,8.9,295637,"$6,933,459",None,"$6,933,459"
新世界 신세계,朴勋政,朴勋政,李政宰/崔岷植/黄政民/宋智孝/朴圣雄/金秉玉/金胤成,剧情/犯罪,韩国,韩语/汉语普通话,2013-02-21(韩国),134分钟,暗黑新世界(台)/NewWorld/Sinsegye,tt2625030,8.9,327761,"$457,806","$31,216,122","$31,673,928"
电锯惊魂 Saw,温子仁,温子仁/雷·沃纳尔,雷·沃纳尔/加利·艾尔维斯/丹尼·格洛弗/肯·梁/迪娜·迈耶/迈克·巴特斯/保罗·古德勒支/迈克尔·爱默生/本尼托·马丁内斯/肖妮·史密斯/麦肯兹·韦加/莫妮卡·波特/耐德·巴拉米/亚丽姗德拉·全/托宾·贝尔,悬疑/惊悚/恐怖,美国,英语,2004-01-19(圣丹斯电影节)/2004-10-29(美国),103分钟,恐惧斗室(港)/夺魂锯(台)/你死我活/链锯惊魂,tt0387564,8.7,450807,"$56,000,369","$47,911,300","$103,911,669"
模仿游戏 The Imitation Game,莫滕·泰杜姆,格拉汉姆·摩尔/安德鲁·霍奇斯,本尼迪克特·康伯巴奇/凯拉·奈特莉/马修·古迪/罗里·金尼尔/艾伦·里奇/马修·比尔德/查尔斯·丹斯/马克·斯特朗/詹姆斯·诺斯科特/汤姆·古德曼-希尔/史蒂芬·威丁顿/伊兰·古德曼/杰克·塔尔登/埃里克斯·劳瑟/杰克·巴农/塔彭丝·米德尔顿/安德鲁·哈维尔/维尔·博登/李·阿斯奎斯-柯/海莉·乔安妮·培根/安库塔·布雷班/格雷斯·卡尔德/理查德·坎贝尔/温斯顿·丘吉尔/克里斯·考林/汉娜·弗林/阿道夫·希特勒AdolfHitler/卢克·霍普/斯图尔特·马修斯/亚当·诺威尔/哈里·S·杜鲁门,剧情/同性/传记/战争,英国/美国,英语/德语,2015-07-21(中国大陆)/2014-11-14(英国)/2014-12-25(美国),114分钟,解码游戏(港)/模拟游戏,tt2084970,8.7,535792,"$91,125,683","$142,430,025","$233,555,708"
黑客帝国3：矩阵革命 The Matrix Revolutions,拉娜·沃卓斯基/莉莉·沃卓斯基,莉莉·沃卓斯基/拉娜·沃卓斯基,基努·里维斯/劳伦斯·菲什伯恩/凯瑞-安·莫斯/雨果·维文/贾达·萍克·史密斯/凯特·宾汉/玛丽·爱丽丝/莫妮卡·贝鲁奇/埃茜·戴维斯/克里斯托弗·卡比/罗伯特·马莫内/罗宾·奈文/吉娜薇·欧瑞丽/诺娜·加耶/纳撒尼尔·利斯/哈里·列尼斯/哈罗德·佩里诺/鲁伯特·雷德/凯文·迈克尔·理查德森/大卫·罗伯茨/布鲁斯·斯宾斯/吉娜·托瑞斯/克莱顿·华生/赫尔穆特·巴凯蒂斯/邹兆龙/乔·曼宁/TanveerK.Atwal/拉黑·休姆/康奈尔·韦斯特/伯纳德·怀特/朗贝尔·维尔森/安东尼·布兰登·黄/安东尼·泽比/克雷格·沃克,动作/科幻,美国,英语/法语,2003-11-05(美国/中国大陆),129分钟,22世纪杀人网络3：惊变世纪(港)/骇客任务完结篇：最后战役(台)/廿二世纪杀人网络3：惊变世纪/黑客帝国3/骇客帝国3,tt0242653,8.8,377759,"$139,313,948","$288,030,377","$427,344,325"
卢旺达饭店 Hotel Rwanda,特瑞·乔治,凯尔·皮尔森/特瑞·乔治,唐·钱德尔/苏菲·奥康内多/华金·菲尼克斯/尼克·诺特/哈基姆·凯-卡西姆/托尼·戈罗奇/法纳·莫科纳/大卫·奥哈拉/莫苏西·麦格诺/西莫·莫加瓦扎/卡拉·西摩/罗伯托·西特兰/德斯蒙德·杜布/蕾乐蒂·库马洛,剧情/传记/历史/战争,英国/南非/意大利/美国,英语/法语,2004-09-11(多伦多电影节)/2005-03-04(英国),121分钟,卢安达饭店(台),tt0395169,8.9,275394,"$23,530,892","$10,351,351","$33,882,243"
疯狂原始人 The Croods,柯克·德·米科/克里斯·桑德斯,克里斯·桑德斯/柯克·德·米科/约翰·克里斯,尼古拉斯·凯奇/艾玛·斯通/瑞安·雷诺兹/凯瑟琳·基纳/克萝丽丝·利奇曼/克拉克·杜克/克里斯·桑德斯/兰迪·汤姆,喜剧/动画/冒险,美国,英语,2013-04-20(中国大陆)/2013-02-15(柏林电影节)/2013-03-22(美国),98分钟,古鲁家族(港/台)/克鲁德一家/疯狂家族,tt0481499,8.7,740869,"$187,168,425","$400,067,558","$587,235,983"
英雄本色,吴宇森,陈庆嘉/吴宇森/梁淑华,周润发/狄龙/张国荣/朱宝意/李子雄/田丰/吴宇森/曾江/成奎安/徐克/陈志辉,剧情/动作/犯罪,中国香港,粤语/汉语普通话/英语,2017-11-17(中国大陆)/1986-08-02(中国香港),95分钟,ABetterTomorrow/GanglandBoss,tt0092263,8.6,452525,None,"$4,999,517","$4,999,517"
你的名字。 君の名は。,新海诚,新海诚,神木隆之介/上白石萌音/长泽雅美/市原悦子/成田凌/悠木碧/岛崎信长/石川界人/谷花音/寺杣昌纪/大原沙耶香/井上和彦/茶风林/加藤有花/花泽香菜/寺崎裕香,剧情/爱情/动画,日本,日语,2016-12-02(中国大陆)/2016-08-26(日本),106分钟,你的名字/君之名/YourName/Kiminonawa.,tt5311514,8.5,1195679,"$5,017,246","$353,162,869","$358,180,115"
岁月神偷 歲月神偷,罗启锐,罗启锐/张婉婷,吴君如/任达华/钟绍图/李治廷/蔡颖恩/秦沛/夏萍/谷德昭/许鞍华/张同祖/庄域飞/威廉希路/李健兴/林耀祺/廖爱玲/张翼东/钱耀荣/谭瓒强/陈庆航/黎祥荣,剧情/家庭,中国香港/中国大陆,粤语/汉语普通话/英语/上海话/法语,2010-04-16(中国大陆)/2010-03-11(中国香港)/2010-02-14(柏林电影节),117分钟/120分钟(柏林电影节),1969太空漫游/EchoesOfTheRainbow,tt1602572,8.7,519610,None,"$3,106,414","$3,106,414"
海街日记 海街diary,是枝裕和,是枝裕和/吉田秋生,绫濑遥/长泽雅美/夏帆/广濑铃/大竹忍/堤真一/加濑亮/风吹淳/中川雅也/前田旺志郎/铃木亮平/坂口健太郎/树木希林,剧情/家庭,日本,日语,2015-05-14(戛纳电影节)/2015-06-13(日本),127分钟,海街女孩日记(港)/KamakuraDiary/UmimachiDiary/OurLittleSister,tt3756788,8.8,371420,"$531,996","$15,386,105","$15,918,101"
荒蛮故事 Relatos salvajes,达米安·斯兹弗隆,达米安·斯兹弗隆,达里奥·格兰迪内蒂/玛丽娅·玛努尔/莫妮卡·比利亚/丽塔·科尔泰塞/胡丽叶塔·泽尔贝伯格/凯撒·博尔东/莱昂纳多·斯巴拉格利亚/沃尔特·多纳多/里卡多·达林/南希·杜普拉/奥斯卡·马丁内兹/玛莉亚·奥内托/奥斯马·努涅斯/赫尔曼·德·席尔瓦/艾丽卡·里瓦斯/地亚哥·詹蒂莱/玛格丽塔·莫菲诺,剧情/喜剧/犯罪,阿根廷/西班牙,西班牙语,2014-05-17(戛纳电影节)/2014-08-21(阿根廷),122分钟,蛮荒故事/生命中最抓狂的小事(台)/无定向丧心病狂(港)/蛮荒史/WildTales,tt3011894,8.8,376565,"$3,106,530","$27,536,174","$30,642,704"
九品芝麻官,王晶,王晶,周星驰/吴孟达/张敏/徐锦江/钟丽缇/蔡少芬/吴启华/邹兆龙/梁荣忠/黄一飞/苑琼丹/刘洵/黄一山,剧情/喜剧/古装,中国香港/中国大陆,粤语,1994-03-31(中国香港),108分钟,九品芝麻官之白面包青天/HailtheJudge,tt0110201,8.6,540721,None,None,None
真爱至上 Love Actually,理查德·柯蒂斯,理查德·柯蒂斯,休·格兰特/科林·费尔斯/艾玛·汤普森/凯拉·奈特莉/连姆·尼森/托马斯·布罗迪-桑斯特/比尔·奈伊/马丁·弗瑞曼/劳拉·琳妮/艾伦·瑞克曼/克里斯·马歇尔/罗德里戈·桑托罗/罗温·艾金森/比利·鲍伯·松顿/玛汀·麦古基安/安德鲁·林肯/露西娅·莫尼斯/海克·玛卡琪,剧情/喜剧/爱情,英国/美国/法国,英语/葡萄牙语/法语,2003-09-07(多伦多电影节)/2003-11-06(美国)/2003-11-21(英国),135分钟,真的恋爱了(港)/爱是您，爱是我(台)/真情角落/真爱/LoveActuallyIsAllAround,tt0314331,8.6,624727,"$59,696,144","$185,507,023","$245,203,167"
绿里奇迹 The Green Mile,弗兰克·德拉邦特,弗兰克·德拉邦特/斯蒂芬·金,汤姆·汉克斯/大卫·摩斯/迈克·克拉克·邓肯/邦尼·亨特/詹姆斯·克伦威尔/迈克尔·杰特/格雷厄姆·格林/道格·休切逊/山姆·洛克威尔/巴里·佩珀/杰弗里·德曼/派翠西娅·克拉克森/哈利·戴恩·斯坦通/戴布思·格里尔/伊芙·布伦特,剧情/悬疑/犯罪/奇幻,美国,英语/法语,1999-12-10(美国),189分钟,绿色奇迹(台)/绿色英里/绿里/绿地,tt0120689,8.9,266408,"$136,801,374","$150,000,000","$286,801,374"
爱在午夜降临前 Before Midnight,理查德·林克莱特,理查德·林克莱特/朱莉·德尔佩/伊桑·霍克/金·克里桑,伊桑·霍克/朱莉·德尔佩/肖姆斯·戴维-菲茨帕特里克/詹妮弗·普里尔/夏洛特·普里尔/仙尼娅·卡洛格罗普卢/沃尔特·拉萨利/亚里安妮·拉贝德/雅尼斯·帕帕多普洛斯/阿赛娜·拉海尔·灿加里/帕诺斯·科罗尼斯/约塔·阿吉罗普卢/约翰·斯洛斯,剧情/爱情,美国/希腊,英语/希腊语/法语,2013-06-14(美国),109分钟,情约半生(港)/爱在午夜希腊时(台)/爱在午夜到来时/爱在午夜梦回时/午夜之前,tt2209418,8.8,316150,"$8,114,627","$12,880,021","$20,994,648"
黑天鹅 Black Swan,达伦·阿伦诺夫斯基,安德雷斯·海因斯/马克·海曼/约翰·J·麦克劳克林,娜塔莉·波特曼/米拉·库尼斯/文森特·卡索/芭芭拉·赫希/薇诺娜·瑞德/本杰明·米派德/克塞尼亚·索罗/克里斯汀娜·安娜波/詹妮特·蒙哥马利/塞巴斯蒂安·斯坦/托比·海明威/塞尔吉奥·托拉多/马克·马戈利斯/蒂娜·斯隆/亚伯拉罕·阿罗诺夫斯基/夏洛特·阿罗诺夫斯基/玛西娅·让·库尔茨/肖恩·奥哈根/克里斯托弗·加廷/黛博拉·奥夫纳/斯坦利·B·赫尔曼/库尔特·弗勒曼/帕特里克·赫辛格/莎拉·海伊,剧情/惊悚,美国,英语/法语/意大利语,2010-09-01(威尼斯电影节)/2010-12-17(美国),108分钟/103分钟(威尼斯电影节),夺命黑天鹅/霸王别鹅(豆友译名),tt0947798,8.6,708552,"$106,954,678","$222,443,368","$329,398,046"
冰川时代 Ice Age,卡洛斯·沙尔丹哈/克里斯·韦奇,迈克尔·伯格/迈克尔·J·威尔森/彼得·阿克曼,雷·罗马诺/约翰·雷吉扎莫/丹尼斯·利瑞/杰克·布莱克,喜剧/动画/冒险,美国,英语/克罗地亚语,2002-03-15(美国),81分钟,冰河世纪/冰原历险记,tt0268380,8.6,536366,"$176,387,405","$206,869,731","$383,257,136"
你看起来好像很好吃 おまえうまそうだな,藤森雅也,村上修/神野博明/宫西达也,山口胜平/爱河里花子/加藤清史郎/原田知世/川岛得爱/折笠富美子/桐本拓哉/别所哲也/矢田稔/川村万梨阿/高乃丽/小室正幸/江川央生/志村知幸/胜沼纪义/井田国男/宫西达也/宫西美奈子,剧情/动画/儿童,日本,日语,2010-10-16(日本),90分钟,你看起来很好吃(台)/你看上去好像很好吃/你好像很美味啊/我的暴龙老爸/고녀석맛나겠다/OmaeUmasoudana/YouAreUmasou/HeartandYummie,tt1734113,8.9,290986,None,"$1,216,304","$1,216,304"
疯狂的石头,宁浩,张承/宁浩/岳小军,郭涛/刘桦/连晋/黄渤/徐峥/优恵/罗兰/王迅,喜剧/犯罪,中国大陆/中国香港,汉语普通话/重庆话,2006-06-30(中国大陆)/2006-08-10(中国香港),106分钟(香港)/98分钟(中国大陆),CrazyStone,tt0843270,8.5,697666,None,None,None
雨人 Rain Man,巴瑞·莱文森,罗纳德·巴斯/巴里·莫罗,达斯汀·霍夫曼/汤姆·克鲁斯/瓦莱丽亚·戈利诺/邦尼·亨特/贝丝·格兰特/杰克·霍夫曼/克里斯·马尔基/杰拉尔德·R·莫伦/卢辛达·珍妮/拉尔夫·塞莫/迈克尔·D·罗伯茨/罗伊斯·D.阿普勒加特/路易莎·莱斯金,剧情,美国,英语/意大利语,1988-12-16(美国),133分钟,手足情未了(港)/手足情深,tt0095953,8.7,355891,"$172,825,435","$182,000,000","$354,825,435"
雨中曲 Singin' in the Rain,斯坦利·多南/吉恩·凯利,贝蒂·康登/阿多夫·格林,吉恩·凯利/唐纳德·奥康纳/黛比·雷诺斯/简·哈根/米勒德·米切尔/赛德·查里斯/达格拉斯·福雷/丽塔·莫雷诺/道恩·艾达丝/JohnAlbright/BettyAllen/BetteArlen/DavidBair/玛格丽特·伯特/MadgeBlake/GailBonney/ChetBrandenburg/梅·克拉克/HarryCody/ChickCollins/PatConway/JeanneCoyne/FredDatigJr./凯·德利斯/JohnDodsworth/金·多诺万/PhilDunham/海伦·艾比罗克/RichardEmory/TommyFarrell/ErnieFlatt/贝丝·弗劳尔斯/罗伯特·福捷/DanFoster/RobertFoulk/EricFreeman/凯瑟琳·弗里曼/兰斯·富勒/杰克·乔治/JohnGeorge/InezGorman/A.CameronGrant/BeatriceGray/WilliamHamel/山姆·哈里斯/TimmyHawkins/JeanHeremans/斯图尔特·霍姆斯/肯纳G.肯普/迈克·拉里/乔伊·兰辛/WilliamF.Leicester/SylviaLewis,喜剧/爱情/歌舞,美国,英语,1952-04-11(美国),103分钟,万花嬉春(港/台)/雨中情/百花嬉春,tt0045152,9.1,181717,"$1,826,108","$38,948","$1,865,056"
恐怖游轮 Triangle,克里斯托弗·史密斯,克里斯托弗·史密斯,梅利莎·乔治/利亚姆·海姆斯沃斯/迈克尔·多曼/瑞秋·卡帕尼/艾玛·朗/亨利·尼克松/约书亚·麦基弗,剧情/悬疑/惊悚,英国/澳大利亚,英语,2009-10-16(英国),99分钟,汪洋血迷宮(台)/轮回三角/三角形/迷失三角洲,tt1187064,8.5,694954,None,"$1,333,377","$1,333,377"
恋恋笔记本 The Notebook,尼克·卡萨维蒂,扬·萨尔迪/杰里米·莱文/尼古拉斯·斯帕克斯,瑞恩·高斯林/瑞秋·麦克亚当斯/吉娜·罗兰兹/詹姆斯·加纳/斯塔尔勒塔·杜波利斯/凯文·康诺利/希瑟·沃奎斯特/杰弗里·奈特/琼·艾伦/詹姆斯·麦斯登,剧情/爱情,美国,英语,2004-06-25(美国),123分钟,忘了·忘不了(港)/手札情缘(台)/深情日记/写我情真/恋恋记事本/恋爱日记,tt0332280,8.6,571290,"$81,001,787","$36,813,370","$117,815,157"
魔女宅急便 魔女の宅急便,宫崎骏,宫崎骏/角野荣子,高山南/佐久间玲/户田惠子/山口胜平/信泽三惠子/加藤治子/关弘子/三浦浩一/山寺宏一/井上喜久子/渊崎由里子/土井美加/土师孝也/浅井淑子/齐藤昌/西村知道/小林优子/池水通洋/辻亲八/大塚明夫/坂本千夏/田口昂/键本景子/津贺有子/龟井芳子/丸山裕子,动画/奇幻/冒险,日本,日语,1989-07-29(日本),103分钟,魔女琪琪(台)/小魔女限时专送/Kiki'sDeliveryService,tt0097814,8.7,395580,"$1,004,057","$9,146,962","$10,151,019"
2001太空漫游 2001: A Space Odyssey,斯坦利·库布里克,亚瑟·克拉克/斯坦利·库布里克,凯尔·杜拉/加里·洛克伍德/威廉姆·西尔维斯特/丹尼尔·里希特/雷纳德·洛塞特/罗伯特·比提/肖恩·沙利文/艾德·毕肖普/格伦·贝克/艾伦·吉福德/安·吉利斯,科幻/惊悚/冒险,英国/美国,英语/俄语,1968-04-02(华盛顿首映)/1968-05-12(英国),149分钟,2001：星际漫游/2001：太空奥德赛,tt0062622,8.8,261042,"$60,405,931","$5,396,565","$65,802,496"
城市之光 City Lights,查理·卓别林,查理·卓别林/HarryClive/哈里·克罗克,查理·卓别林/弗吉尼亚·切瑞尔/佛罗伦斯·李/亨利·伯格曼/珍·哈露,剧情/喜剧/爱情,美国,英语,1931-01-30(洛杉矶首映)/1931-03-07(美国),87分钟,CityLights,tt0021749,9.3,119052,"$19,181","$27,836","$47,017"
可可西里,陆川,陆川,多布杰/张垒/奇道/赵雪莹/马占林/赵一穗,剧情/犯罪,中国大陆/中国香港,汉语普通话/藏语,2004-10-01(中国大陆)/2005-04-21(中国香港),85分钟(中国大陆)/90分钟(美国)/98分钟(阿根廷),Kekexili,tt0386651,8.8,257714,"$143,383","$42,537","$185,920"
二十二,郭柯,,,纪录片,中国大陆,汉语普通话,2017-08-14(中国大陆)/2015-10-05(釜山电影节)/2016-06-25(莫斯科电影节),99分钟(公映版)/112分钟,TwentyTwo/22,tt3843282,8.7,261934,"$46,796","$26,242,582","$26,289,378"
人工智能 Artificial Intelligence: AI,史蒂文·斯皮尔伯格,布莱恩·奥尔迪斯/伊恩·沃森/史蒂文·斯皮尔伯格,海利·乔·奥斯蒙/弗兰西丝·奥康纳/山姆·洛巴兹/杰克·托马斯/裘德·洛/威廉·赫特/肯·梁/克拉克·格雷格/凯文·苏斯曼/汤姆·加洛普/尤金·奥斯门特/艾普尔·格雷斯/马特·温斯顿/萨布丽娜·格德维奇/西奥·格林利,剧情/科幻,美国/英国,英语,2001-06-29(美国),146分钟,AI人工智慧,tt0212720,8.7,381072,"$78,616,689","$157,309,863","$235,926,552"
初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,普特鹏·普罗萨卡·那·萨克那卡林/华森·波克彭,普特鹏·普罗萨卡·那·萨克那卡林,平采娜·乐维瑟派布恩/马里奥·毛瑞尔/苏达拉·布查蓬/雅尼卡·桑普蕾舞/诺特·阿查拉那·阿瑞亚卫考/皮拉瓦特·赫拉巴特/普特鹏·普罗萨卡·那·萨克那卡林/华森·波克彭,剧情/喜剧/爱情,泰国,泰语/印度尼西亚语/英语,2012-06-05(中国大陆)/2010-08-12(泰国),118分钟(泰国)/100分钟(中国大陆),初恋那件小事(港)/暗恋那点小事/叫做爱的小事/Singleklekteereakwarak/ALittleThingCalledLove/FirstLove,tt1859438,8.4,879594,None,"$2,659,443","$2,659,443"
